,brand_name,item_name,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv
0,4food,melgalllll Sandwich,319.0,140.17090909090908,3.5,0.4,0.0,0.0,0.298,57.7,12.6,8.8,16.7,486.0,25.0,11.0,24.0
1,Bertucci's,Caesar Dressing,120.0,140.17090909090908,12.0,2.0,0.173015873015873,0.04976527777777778,0.388,1.0,0.0,14.420270270270272,1.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
2,Baskin Robbins,Trick OREOå¨ Treat Ice Cream,300.0,140.0,16.0,9.0,0.0,0.045,0.14,36.0,1.0,30.0,5.0,8.0,2.0,15.0,4.0
3,Bareburger,Sweet Fries Snack,1150.0,690.0,79.0,7.0,0.0,0.0,1.07,120.0,19.0,44.0,6.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
4,Cosi,Tomatoes - Salad,9.58,2.4,0.0,0.0,0.0,0.0,0.00479,2.4,0.0,0.0,0.0,5.0,14.0,0.0,0.0
5,Extreme Pizza,Chicken BBQ Caesar Salad EntrÌ©e,203.0,140.17090909090908,18.957317073170735,2.1,0.173015873015873,0.04976527777777778,0.5826,14.8,2.6653846153846152,14.420270270270272,14.825925925925928,36.53846153846154,13.128205128205128,13.675,12.894736842105264
6,D'Angelo Grilled Sandwiches,Medium - Provolone,200.0,135.0,15.0,9.0,0.5,0.045,0.4,1.0,0.0,0.0,0.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
8,Brixx Wood Fired Pizza,Corn and Black Bean Salad,140.0,10.0,1.0,0.0,0.0,0.0,0.52,29.0,7.0,3.0,7.0,2.0,4.0,2.0,10.0
9,Menchie's Frozen Yogurt,Takes The Cake Batter,130.0,10.0,1.0,0.0,0.173015873015873,0.04976527777777778,0.727865731707317,26.0,2.6653846153846152,20.0,4.0,36.53846153846154,13.128205128205128,15.0,12.894736842105264
10,Bd's Mongolian Grill,Egg,60.0,40.0,5.0,2.0,0.0,0.185,0.06,0.0,0.0,0.0,6.0,4.0,0.0,2.0,4.0
11,California Pizza Kitchen,"Flavored Fresh Lemonade, Peach",180.0,0.0,0.0,0.0,0.0,0.0,0.014,46.0,0.0,42.0,0.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
12,Whitespot Restaurants,Add Pirate Tossed Salad,63.0,140.17090909090908,5.0,0.4,0.0,0.005,0.049,3.0,0.7,2.0,1.0,51.0,5.0,2.0,8.0
13,Applebee's,Strawberry Vinaigrette,110.0,140.17090909090908,8.0,1.0,0.0,0.04976527777777778,0.22,9.0,0.0,14.420270270270272,0.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
14,Ponderosa Steakhouse,Spinach Salad,36.0,20.0,2.0,0.0,0.0,0.013,0.095,3.0,1.0,1.0,1.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
15,Daphne's Greek Cafe,Grilled Chicken Kabob and Lemon Chicken Soup,290.0,120.0,14.0,4.0,0.173015873015873,0.12,1.58,15.0,1.0,3.0,28.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
16,Burger Lounge,Add Malt to A Milkshake,243.0,49.0,5.0,3.0,0.0,0.014,0.23,41.0,3.0,27.0,8.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
17,Sonic,Sweet Iced Tea -Route 44å¨ (44 oz),400.0,0.0,0.0,0.0,0.0,0.0,0.025,103.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
19,Nando's Peri-Peri,Macho Peas,328.0,221.0,25.0,13.0,0.0,0.053,0.171,18.0,7.0,5.0,8.0,36.0,45.0,1.0,11.0
20,16 Handles,Passion Fruit Tart,31.0,0.0,0.0,0.0,0.173015873015873,0.0,0.006,7.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0
21,Cousin's Subs,"7å_"" Italian Cheese Steak",930.0,140.17090909090908,54.0,23.0,0.173015873015873,0.14,2.01,55.0,2.0,1.0,56.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
